score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
126,Namibian Oil & Gas Project - Airswift,Airswift,Namibia,Namibia,2026-06-29,https://www.airswift.com/jobs/namibian-oil-gas-project-airswift-1276315,airswift,,Contract,"Namibia, fpso, offshore, subsea, commissioning, drilling, wells, piping, inspection, hse",2026-08-20 08:49:40,
118,Subsea Pre-commissioning Engineer,Saipem,Qatar,Qatar,2026-08-16,https://app.ncoreplat.com/jobposition/808577/subsea-pre-commissioning-engineer-qa/saipem-spa-qatar-branch,saipem,Asset Based (no Drilling),,"Qatar, lng, offshore, subsea, commissioning, drilling, pipeline, qa/qc, hse, safety",2026-08-21 12:46:29,
117,OSBL Area 3 - Field Construction Superintendent - Utilities,Aldelia,Mozambique,Mozambique,,https://app.beehire.com/invite/jKNHd0IK1,aldelia,,fixedTerm,"Mozambique, commissioning, pipeline, piping, welding, qa/qc, quality control, hse, safety, mechanical",2026-08-21 05:20:38,
114,Operations coordinator(RSESD),Aldelia,Uganda,Uganda,,https://app.beehire.com/invite/035yob82z,aldelia,,fixedTerm,"Uganda, offshore, shutdown, drilling, inspection, hse, safety, mechanical, integrity, reliability",2026-08-21 05:20:38,
114,Operation – Field Support Engineer (Mechanical),WTS Energy,Nigeria,Nigeria,2026-07-22,https://www.wtsenergy.com/job/operation-field-support-engineer-mechanical/,wtsenergy,,PART_TIME,"Nigeria, commissioning, piping, welding, qa/qc, quality control, inspection, hse, safety, mechanical",2026-08-21 07:56:15,
107,Civil Structure Lead,Aldelia,Mozambique,Mozambique,,https://app.beehire.com/invite/sqUocIkN1,aldelia,,fixedTerm,"Mozambique, lng, commissioning, piping, qa/qc, hse, safety, mechanical, electrical, instrumentation",2026-08-21 05:20:38,
106,Rotating Supervisor,Aldelia,Mozambique,Mozambique,,https://app.beehire.com/invite/epr9RZLHx,aldelia,,fixedTerm,"Mozambique, lng, commissioning, rotating equipment, piping, qa/qc, inspection, hse, safety, mechanical",2026-08-21 05:20:38,
105,FPSO Marine System Engineer,Aldelia,Namibia,Namibia,,https://app.beehire.com/invite/PWveMvWOQ,aldelia,,fixedTerm,"Namibia, fpso, commissioning, piping, qa/qc, safety, mechanical, electrical, instrumentation, corrosion",2026-08-21 05:20:38,
105,Company Site Representative,Aldelia,Mozambique,Mozambique,,https://app.beehire.com/invite/MuObs-oGu,aldelia,,fixedTerm,"Mozambique, lng, offshore, subsea, wells, welding, quality control, hse, safety, corrosion",2026-08-21 05:20:38,
104,Senior Mechanical Engineer,Aldelia,"Emirates - World Islands - Dubai - United Arab Emirates, Dubai, United Arab Emirates",United Arab Emirates,,https://app.beehire.com/invite/6d_rXLxvX,aldelia,,permanent,"United Arab Emirates, offshore, commissioning, pipeline, piping, inspection, safety, mechanical, structural, reliability",2026-08-21 05:20:38,
102,Mechanical Commissioning Supervisor,Aldelia,"Dubai - United Arab Emirates, Dubai, United Arab Emirates",United Arab Emirates,,https://app.beehire.com/invite/g2HOa4TQW,aldelia,,permanent,"United Arab Emirates, commissioning, shutdown, completions, rotating equipment, piping, safety, mechanical, integrity, maintenance",2026-08-21 05:20:38,
